epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,735.796,1.77787,0.95163,0.99837,0.24281,0.00333155,0.00333155,0.00333155
2,1462.87,0.25186,0.99485,0.99994,0.02849,0.0065824,0.0065824,0.0065824
3,2187.92,0.09905,0.99789,1,0.00984,0.00975076,0.00975076,0.00975076
4,2910.56,0.06015,0.99927,1,0.00361,0.00962875,0.00962875,0.00962875
5,3633.54,0.04651,0.9995,1,0.00202,0.009505,0.009505,0.009505
6,4351.64,0.03896,0.99973,1,0.00124,0.00938125,0.00938125,0.00938125
7,5068.66,0.03807,0.99987,1,0.00071,0.0092575,0.0092575,0.0092575
8,5785.01,0.04147,0.99996,1,0.00049,0.00913375,0.00913375,0.00913375
9,6506.14,0.04288,0.99996,1,0.00037,0.00901,0.00901,0.00901
10,7215.08,0.05014,0.99996,1,0.00034,0.00888625,0.00888625,0.00888625
11,7920.78,0.05442,0.99994,1,0.00034,0.0087625,0.0087625,0.0087625
12,8625.51,0.05707,0.99994,1,0.00035,0.00863875,0.00863875,0.00863875
13,9338.14,0.061,0.99994,1,0.00037,0.008515,0.008515,0.008515
14,10044.3,0.06729,0.99994,1,0.00039,0.00839125,0.00839125,0.00839125
15,10748.2,0.06343,0.99996,1,0.00044,0.0082675,0.0082675,0.0082675
16,11448.3,0.06145,0.99994,1,0.00051,0.00814375,0.00814375,0.00814375
17,12153.1,0.0598,0.99992,1,0.00061,0.00802,0.00802,0.00802
18,12862.1,0.06111,0.9999,1,0.00067,0.00789625,0.00789625,0.00789625
19,13573,0.06143,0.99983,1,0.00072,0.0077725,0.0077725,0.0077725
20,14278.9,0.05813,0.99985,1,0.00072,0.00764875,0.00764875,0.00764875
21,14999.1,0.06061,0.99985,1,0.00072,0.007525,0.007525,0.007525
22,15737.4,0.05428,0.99985,1,0.00074,0.00740125,0.00740125,0.00740125
